NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICES_TRIGGERRED,ESB_PICKEDUP_COUNT,ESB_PRINT_COUNT 
1A - CUR_Medicaid Eligibility,CNMEEN01A,139,139,139
2 - CUR_Request for Information,CNMEEN02,43,43,43
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,33,33,33
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,32,32,32
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,28,28,28
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,15,15,15
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,8,8,8
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,8,8,8
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,5,5,5
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,4,4,4
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,4,4,4
1A - CUR_Medicaid Eligibility,CNMESP01A,3,3,3
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,3,3,3
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,3,3,3
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,2,2,2
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,2,2,2
102 - CUR_Confirmation of Receipt Notice,CNMREN102,2,2,2
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,2,2,2
1B - CUR_Temporary Medicaid,CNMESP01B,1,1,1
8A - CUR_Individual_Non-IAPEligibility,CNIEAM08A,1,1,1
1G - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01G,1,1,1
2 - CUR_Request for Information,CNMEAM02,1,1,1
5A - CUR_Mixed Coverage Family,CNMFEN05A,1,1,1
4A - CUR_Individual Temporary Eligibility,CNIEAM04A,1,1,1
10 - CUR_Total Ineligibility,CNIEEN10,1,1,1
1A - CUR_Medicaid Eligibility,CNMEAM01A,1,1,1
