NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
2 - CUR_Request for Information,CNMEEN02,Print,15
2 - CUR_Request for Information,CNMEEN02,Email,9
2 - CUR_Request for Information,CNMEEN02,Both,8
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,8
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,7
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,3
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,3
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,2
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,2
10 - CUR_Total Ineligibility,CNIEEN10,Print,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,1
4A - CUR_Individual Temporary Eligibility,CNIEAM04A,Print,1
9D - CUR_Temp Individual Non-IAP Eligibility,CNIEEN09D,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,1
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,1
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,1
